"State","smokingRate","Pop"
"Utah","8.9000","3282120"
"California","11.3000","39937500"
"Connecticut","12.7000","3563080"
"Hawaii","12.8000","1412690"
"Washington","13.5000","7797100"
"Massachusetts","13.7000","6976600"
"New Jersey","13.7000","8936570"
"Maryland","13.8000","6083120"
"New York","14.1000","19440500"
"Idaho","14.3000","1826160"
"Minnesota","14.5000","5700670"
"Colorado","14.6000","5845530"
"Rhode Island","14.9000","1056160"
"Nebraska","15.4000","1952570"
"Illinois","15.5000","12659700"
"Arizona","15.6000","7378490"
"New Hampshire","15.7000","1371250"
"Texas","15.7000","29472300"
"Vermont","15.8000","628061"
"Wisconsin","16","5851750"
"Florida","16.1000","21993000"
"Oregon","16.1000","4301090"
"Virginia","16.4000","8626210"
"Delaware","17","982895"
"Iowa","17.1000","3179850"
"Montana","17.2000","1086760"
"North Carolina","17.2000","10611900"
"Maine","17.3000","1345790"
"Kansas","17.4000","2910360"
"Georgia","17.5000","10736100"
"New Mexico","17.5000","2096640"
"Nevada","17.6000","3139660"
"North Dakota","18.3000","761723"
"Pennsylvania","18.7000","12820900"
"Wyoming","18.7000","567025"
"South Carolina","18.8000","5210100"
"Michigan","19.3000","10045000"
"South Dakota","19.3000","903027"
"Oklahoma","20.1000","3954820"
"Missouri","20.8000","6169270"
"Alabama","20.9000","4908620"
"Alaska","21","734002"
"Ohio","21.1000","11747700"
"Indiana","21.8000","6745350"
"Mississippi","22.2000","2989260"
"Arkansas","22.3000","3039000"
"Tennessee","22.6000","6897580"
"Louisiana","23.1000","4645180"
"Kentucky","24.6000","4499690"
"West Virginia","26","1778070"