"Location","All Adults","Non-Hispanic White","Non-Hispanic Black","Hispanic","Asian and Native Hawaiian or Pacific Islander","American Indian/ Alaska Native","Other",Footnotes
"United States","0.57","0.54","0.69","0.60","0.67","0.51","0.58","1"
"Alabama","0.64","0.63","0.71","NSD","NSD","0.49","0.71"
"Alaska","0.56","0.55","0.58","NSD","NSD","0.59","0.64"
"Arizona","0.55","0.47","0.66","0.65","0.83","0.51","0.53"
"Arkansas","0.59","0.57","0.70","0.59","NSD","0.64","0.60"
"California","0.57","0.56","0.65","0.57","0.65","0.48","0.47"
"Colorado","0.59","0.54","0.71","0.68","0.75","NSD","0.64"
"Connecticut","0.62","0.56","0.74","0.67","0.78","0.90","0.68"
"Delaware","0.56","0.54","0.63","0.57","0.73","0.61","NSD"
"District of Columbia","0.69","0.67","0.70","0.64","0.82","NSD","0.73"
"Florida","0.57","0.54","0.75","0.54","0.81","0.70","0.62"
"Georgia","0.61","0.56","0.72","0.69","0.71","NSD","0.54"
"Hawaii","0.56","0.54","NSD","0.63","0.52","NSD","0.65"
"Idaho","0.55","0.53","NSD","0.77","NSD","NSD","NSD"
"Illinois","0.58","0.53","0.71","0.64","0.71","NSD","0.52"
"Indiana","0.58","0.56","0.73","0.66","NSD","NSD","0.72"
"Iowa","0.52","0.51","0.71","0.68","NSD","NSD","0.52"
"Kansas","0.55","0.54","0.61","0.51","0.76","0.61","0.62"
"Kentucky","0.54","0.53","0.77","0.42","NSD","0.58","0.56"
"Louisiana","0.61","0.55","0.77","0.61","NSD","0.72","0.51"
"Maine","0.56","0.56","NSD","0.73","0.00","NSD","0.42"
"Maryland","0.61","0.56","0.67","0.77","0.60","NSD","0.75"
"Massachusetts","0.60","0.60","0.55","0.56","0.86","NSD","0.59"
"Michigan","0.59","0.55","0.74","0.61","0.70","0.44","0.62"
"Minnesota","0.55","0.53","0.72","0.59","0.67","0.55","0.57"
"Mississippi","0.63","0.56","0.77","NSD","NSD","NSD","0.66"
"Missouri","0.55","0.51","0.71","0.93","0.90","NSD","0.47"
"Montana","0.51","0.51","NSD","NSD","NSD","0.52","0.42"
"Nebraska","0.58","0.57","0.60","0.73","NSD","0.67","0.59"
"Nevada","0.53","0.50","0.75","0.50","0.69","NSD","NSD"
"New Hampshire","0.61","0.60","NSD","NSD","0.78","NSD","0.66"
"New Jersey","0.63","0.59","0.48","0.80","0.72","NSD","NSD"
"New Mexico","0.56","0.53","NSD","0.58","NSD","0.60","0.76"
"New York","0.61","0.56","0.67","0.68","0.70","0.62","0.63"
"North Carolina","0.57","0.53","0.71","0.57","NSD","NSD","0.52"
"North Dakota","0.54","0.53","0.61","NSD","0.76","0.66","NSD"
"Ohio","0.54","0.51","0.63","0.68","0.87","0.94","0.38"
"Oklahoma","0.54","0.55","0.55","0.65","NSD","0.47","0.50"
"Oregon","0.54","0.52","0.65","0.55","0.82","NSD","0.56"
"Pennsylvania","0.57","0.55","0.65","0.73","0.75","NSD","0.41"
"Rhode Island","0.56","0.54","0.84","0.61","NSD","NSD","0.79"
"South Carolina","0.63","0.57","0.77","0.88","0.79","NSD","0.64"
"South Dakota","0.51","0.52","NSD","NSD","0.95","0.58","NSD"
"Tennessee","0.57","0.52","0.77","NSD","NSD","0.85","0.64"
"Texas","0.53","0.50","0.57","0.52","0.74","NSD","0.86"
"Utah","0.61","0.58","NSD","0.70","0.63","0.53","0.81"
"Vermont","0.57","0.56","0.82","0.80","NSD","0.68","0.46"
"Virginia","0.56","0.49","0.69","0.71","0.54","0.58","0.76"
"Washington","0.52","0.48","0.59","0.70","0.63","0.45","0.60"
"West Virginia","0.52","0.52","0.74","NSD","NSD","NSD","0.53"
"Wisconsin","0.57","0.54","0.79","0.76","NSD","NSD","0.59"
"Wyoming","0.55","0.54","NSD","0.64","NSD","NSD","0.81"